"cod","cod_interno","erro","origem.motivo","origem.matricula","origem.inicio","origem.fim"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002471]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002471","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002493]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002493","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002670","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002781]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002781","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002820","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000002843]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000002843","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002864","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000002886","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003113","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003115","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003157","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003199","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000003268]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000003268","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000003455]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000003455","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000003599]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000003599","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000003760]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000003760","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003901","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000003916]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000003916","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000003970]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000003970","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000003997","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000004108]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000004108","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000004202]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000004202","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000004222","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000004650","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000005176","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000005875]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000005875","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000006087","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000006429]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000006429","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000006718","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000006818","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000007681","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000008099","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008143]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008143","2019-09-16T00:00:00","2019-10-01T00:00"
