"cod","cod_interno","erro","origem.motivo","origem.matricula","origem.inicio","origem.fim"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000030819","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000030886","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000030981","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000031293","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000031296","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000031343","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000031610","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000031897","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032057","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032133","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032136","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032182","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032185","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032431","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032492","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032517","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032592","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032630","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032807","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032826","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000032999","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000033536","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000034063","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000034251","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000034468","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000034522","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000034607","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000034608","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000035032","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000035126","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000035184","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000035290","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000035329","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000035872","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000035874","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000036133","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037039","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037071","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037094","2019-09-15T00:00:00","2019-09-30T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037142","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037198","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037232","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037233","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037248","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037342","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037343","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037523","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037529","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037565","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037713","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037790","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037793","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037794","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037797","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000037999","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038111","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038112","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038240","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038251","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038282","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038498","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038499","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038530","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038556","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038568","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038655","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038739","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038795","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038873","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038877","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038932","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000038969","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039035","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039053","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039179","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039183","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039438","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039598","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039601","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039650","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039714","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039727","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039788","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000039899","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040007","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040016","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040130","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040145","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040148","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040194","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040198","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040487","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040518","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040542","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040647","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040742","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040786","2019-09-02T00:00:00","2019-09-26T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040868","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000040963","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041063","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041069","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041108","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041111","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041124","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041129","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041188","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041204","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041303","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041564","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041568","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041615","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041625","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041690","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041701","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041721","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041766","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041856","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041895","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041940","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000041968","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [700000739]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","700000739","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [700000742]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","700000742","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","00003","000038082","2019-09-24","2019-09-24"
,,"O afastamento possui intersecção com outro já cadastrado.","00003","000043021","2019-09-23","2019-09-23"
